Aisaksittoo,cinema
Itaohpomoapii,store
Itaisimmioapii,night club
Itoiyo’pii,cafe
Naapoiyiss,house
Niitoiyiss,tipi
Aohkii,water
mamii,fish
aotahkoinammiksi,oranges
aipasstaamiinammiksi,apples
paataakistsi,fries
pikkiaaksin,burger 
pisatsoyiikan,dessert
napayin,bread
Siksikimmii,tea
Iitapsiksikimmii,coffee
Makapoiyiss,bathroom
Itoiyo’soap,kitchen
Aiksistomatomahka,car
Kitsim,door
Aisspaohpii,elevator
Ksisstsikomstan,window
Imitaa,dog
Ninaa,Man
Aakii ,Woman
Aakiikoan,Girl
Saahkomaapi,Boy
Iksisst,Mother
Inn,Father
Oki,Hello
Oki napi,Hello friend
Tsa niita’piiwa,How are you?
Tsikohssokopii. Kistoo?,I’m doing good. You?
Matohkwiikii,Not too bad
Okí,Let’s go
Aa,Yes
Saa,No
